SR_Pcode,SR_Name_Eng,SR_Name_MMR
MMR001,Kachin,ကချင်ပြည်နယ်
MMR002,Kayah,ကယားပြည်နယ်
MMR003,Kayin,ကရင်ပြည်နယ်
MMR004,Chin,ချင်းပြည်နယ်
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး
MMR007,Bago,ပဲခူးတိုင်းဒေသကြီး
MMR009,Magway,မကွေးတိုင်းဒေသကြီး
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး
MMR011,Mon,မွန်ပြည်နယ်
MMR012,Rakhine,ရခိုင်ပြည်နယ်
MMR013,Yangon,ရန်ကုန်တိုင်းဒေသကြီး
MMR014,Shan,ရှမ်းပြည်နယ်
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး
MMR018,Nay Pyi Taw,နေပြည်တော်